"","State_UT","fiscal_year","State_Govt","Central_Govt","Same_Gov","Population","I: DEVELOPMENTAL EXPENDITURE (A + B)","I: TAX REVENUE (A+B)","I.1: Development (a + b)","I.1.a.2: Medical and Public Health","I.1.a.6: Urban Development","I.1.b.2: Rural Development","I.1.b.10: General Economic Services (i + ii)","I.1.b.7.i: Roads and Bridges","I.6: WMA from RBI","I.A.1: Taxes on Income (i+ii)","I.A.3.i.a: Central Sales Tax","I.A.3.i.b: State Sales Tax/VAT","I.A.3.vii: State Goods and Services Tax","I.B: Share in Central Taxes (i to ix)","I.B.i: Central Goods and Services Tax (CGST)","I.B.iii: Income Tax","II: NON-DEVELOPMENTAL EXPENDITURE (General Services) (A to F)","II: NON-TAX REVENUE (C+D)","II.2: Central Plan Schemes","II.3: Centrally Sponsored Schemes","II.D.5.c.1: GST compensation","II.D.5.c.2: VAT compensation","II.D.5.c.3: Central sales tax compensation","Total: TOTAL EXPENDITURE (I+II+III)","Total: TOTAL REVENUE (I+II)"
"1","Andhra Pradesh","1990-1991","Congress","Samajwadi Janta Party",0,66508,3941.92,3794.34,454.97,2.99,0,0.21,0.78,31.96,0,27.55,226.78,1198.77,0,1147.09,0,338.21,1514.42,1552.84,0.06,1.72,0,0,0,5504.78,5347.18
"2","Andhra Pradesh","1991-1992","Congress","Congress",1,66508,4572.69,4351.18,408.03,2.4,0,0,0.65,35.52,0,31.4,264.44,1409.19,0,1296.22,0,419.07,1829.16,1930.81,0.06,6.95,0,0,0,6451.56,6281.99
"3","Andhra Pradesh","1992-1993","Congress","Congress",1,66508,5017.87,4934.74,787.75,0.86,0,0.19,0.43,102.41,0,33.83,321.9,1527.76,0,1546.02,0,497.44,2111.96,2131.62,0.03,7.15,0,0,0,7190.17,7066.36
"4","Andhra Pradesh","1993-1994","Congress","Congress",1,66508,5471.41,5519.76,1352.83,2.79,0,0,0.36,157.92,0,38.39,363.77,1959.99,0,1686.83,0,637.48,2477.65,2730.69,0.05,10.21,0,0,0,8018.17,8250.45
"5","Andhra Pradesh","1994-1995","Congress","Congress",1,66508,6331.75,6110.78,1902.5,2.18,0,0,0.03,101.04,0,41.32,482.67,2344.54,0,1883.35,0,702.59,3105.08,2675.6,0,11.25,0,0,0,9514.12,8786.38
"6","Andhra Pradesh","1995-1996","Congress","Congress",1,76210,6949.97,6683.11,2406.31,1.19,0,0,2.8,90.4,0,42.46,520.54,2432.15,0,2562.67,0,952.86,3586.07,3191.78,0.09,3.51,0,0,0,10613.67,9874.89
"7","Andhra Pradesh","1996-1997","TDP","Jata Dal",0,76210,10163.42,7820.54,113.31,0.82,0,0,0.66,87.27,0,72.26,544.45,2978.88,0,2938.71,0,1145.35,4132.22,3372.77,35.25,7.45,0,0,0,14392.36,11193.31
"8","Andhra Pradesh","1997-1998","TDP","Jata Dal",0,76210,9684.68,10524.29,1064.32,2.61,0,0,11.35,99.73,0,75.54,623.24,3998.07,0,3410.74,0,1787.42,4731.44,3316.81,0,6.27,0,0,0,14544.29,13841.1
"9","Andhra Pradesh","1998-1999","TDP","BJP",0,76210,11174.79,10969.54,1359.82,1.32,0,0,18.32,264.32,0,121.67,448.77,4714.98,0,3008.17,0,1227.26,5618.54,3289.96,0.52,12.12,0,0,0,16943.56,14259.5
"10","Andhra Pradesh","1999-2000","TDP","BJP",0,76210,11178.64,12351.9,1962.39,60.25,0,0,0,359.1,0,124.37,562.01,5513.15,0,3343.3,0,1401.08,6733.2,4452.72,0.1,10.62,0,0,0,18037.87,16804.62
